代號,名稱,年/月,  現金及約當現金,  應收帳款及票據,  其他應收款,  不動產廠房及設備,  商譽及無形資產合計,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  應付帳款及票據,  其他應付款,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,  股本,  資本公積合計,  保留盈餘,  其他權益,  庫藏股票帳面值,股東權益總額,負債及股東權益總額
2882,國泰金,Sep-23,"309,038,429","100,904,717","237,017,722","109,414,585","50,994,886","5,563,649","453,345,231","100,693,125","12,897,826,562",,"101,266,006",0,"169,846,284","12,649,530","20,054,417","7,008,140,409","12,212,374,678","146,692,102","15,333,000",0,0,"162,025,102","202,839,654","509,024,258","-202,099,251",0,"685,451,884","12,897,826,562"
2883,開發金,Sep-23,"65,654,409","43,352,828","141,309,673","32,030,274","17,888,303","12,134,751","59,112,149","108,338,055","3,710,822,535","55,030,650","98,274,863",0,"101,281,435","27,684,109","4,267,276","2,119,496,501","3,475,457,223","168,345,806","15,821,424",0,0,"184,167,230","33,506,036","83,004,041","-65,435,269",0,"235,365,312","3,710,822,535"
2884,玉山金,Sep-23,"55,196,811","6,769,674","144,754,579","34,796,576","6,327,267","6,980,412","1,791,864","21,603,170","3,590,762,229","6,096,078","45,194,633",0,"44,250,000","650,021","4,199,715","1,047,332","3,362,067,193","156,640,000",0,0,0,"156,640,000","34,800,497","40,897,541","-3,807,311",0,"228,695,036","3,590,762,229"
2885,元大金,Sep-23,"76,414,702","44,812,461","258,746,988","26,396,596","30,823,679","11,429,298","10,689,960","69,320,461","3,188,702,414","118,856,704","169,075,296",0,"98,328,614","51,022,688","4,678,984","379,569,361","2,889,416,818","126,890,824",0,0,0,"126,890,824","38,173,889","114,634,062","-1,392,730",0,"299,285,596","3,188,702,414"
2886,兆豐金,Sep-23,"72,566,790","29,107,311","107,240,916","21,572,230","1,245,524","1,941,480","1,981,469","8,730,957","4,243,990,504","25,894,297","95,340,707",0,"30,500,000","10,940,276","2,007,482","29,171,861","3,925,619,511","140,513,382",0,0,0,"140,513,382","68,194,233","117,024,154","-7,360,776",0,"318,370,993","4,243,990,504"
2887,台新金,Sep-23,"37,234,576","85,163,631","172,154,031","25,689,222","3,586,004","2,366,706","3,867,626","24,766,958","2,989,263,024","23,114,684","45,896,502",0,"68,113,250","10,782,084","2,478,590","240,898,394","2,779,625,546","124,770,618","11,000,000",0,0,"135,770,618","38,197,778","40,894,227","-5,253,037",0,"209,637,478","2,989,263,024"
2888,新光金,Sep-23,"58,139,480","29,850,958","85,278,982","39,962,546","3,776,328","4,566,132","184,856,227","61,332,105","4,942,995,498","18,192,161","42,149,261",0,"64,833,691","3,932,629","11,476,156","3,336,809,521","4,712,250,418","154,876,182","2,970,000",108,0,"157,846,290","18,623,914","93,697,705","-39,845,359",0,"230,745,080","4,942,995,498"
2889,國票金,Sep-23,"3,523,308","14,342,428","37,542,313","7,048,319","255,428","129,578","406,379","4,643,643","354,655,878","12,358,025","16,140,012",0,0,0,"128,126","1,727,727","309,179,239","34,473,840",0,0,0,"34,473,840","234,217","6,100,197","-1,492,332",0,"45,476,639","354,655,878"
2890,永豐金,Sep-23,"31,804,498","20,339,781","124,550,173","13,179,873","2,390,818","3,838,766","2,271,836","26,995,339","2,735,691,897","31,768,315","65,060,888","18,437","73,246,278","6,728,474","3,358,274","2,955,411","2,557,468,555","123,764,399",0,0,0,"123,764,399","6,129,361","59,492,107","-11,162,525",0,"178,223,342","2,735,691,897"
2891,中信金,Sep-23,"89,408,319","130,325,378","259,996,517","48,493,111","39,092,464","17,913,564","106,586,542","64,929,573","8,188,186,011","8,534,626","114,111,581",0,"145,378,470",0,"17,563,932","1,875,380,652","7,751,847,365","195,832,971","4,999,900",0,0,"200,832,871","59,397,478","211,095,532","-57,770,136",0,"436,338,646","8,188,186,011"
2892,第一金,Sep-23,"58,843,247","5,285,949","62,511,941","27,406,977","946,547","2,505,086","12,244,390","5,342,051","4,365,570,177","27,406,671","67,192,819",0,"62,350,000","3,650,000","2,372,189","72,552,074","4,123,561,086","136,201,455",0,0,0,"136,201,455","26,107,218","65,695,444","14,004,974",0,"242,009,091","4,365,570,177"
5880,合庫金,Sep-23,"69,666,722","9,926,837","53,474,390","32,613,951","4,239,310","1,575,565","10,403,141","3,613,017","4,655,774,004","9,190,839","70,857,917",0,"81,840,000","8,686,372","1,556,066","34,422,824","4,421,149,025","147,093,822",0,0,0,"147,093,822","45,650,994","52,211,684","-15,833,872",0,"234,624,979","4,655,774,004"
2880,華南金,Jun-23,"37,459,506","15,678,186","62,268,171","31,079,942","993,097","2,108,098","14,495,164","5,521,687","3,731,541,172","14,073,092","50,240,833",0,"79,585,777","1,522,000","2,151,976","24,626,745","3,540,364,427","136,427,459",0,0,0,"136,427,459","17,758,986","51,802,644","-14,814,528",0,"191,176,745","3,731,541,172"
2881,富邦金,Jun-23,"199,667,625","65,996,553","287,945,611","65,339,054","33,215,244","9,099,771","315,446,924","66,333,025","10,934,873,383","46,618,316","195,878,151",0,"284,790,186","17,555,808","20,735,710","4,724,516,798","10,183,163,204","123,952,126","15,999,900",0,"6,197,606","146,149,632","164,734,663","501,359,663","-68,934,675",0,"751,710,179","10,934,873,383"
2882,國泰金,Jun-23,"401,196,388","131,009,251","285,335,971","109,118,831","50,731,867","5,472,836","452,088,622","85,062,353","12,709,227,302",,"114,947,266",0,"141,100,000","12,908,519","19,806,827","6,927,295,200","11,988,660,214","146,692,102","15,333,000",0,0,"162,025,102","202,184,316","483,680,038","-140,685,484",0,"720,567,088","12,709,227,302"
2883,開發金,Jun-23,"67,647,898","58,752,723","152,530,657","33,638,851","18,067,676","12,385,959","57,954,888","90,714,628","3,680,091,381","76,697,027","115,583,474",0,"91,499,260","30,213,485","4,457,486","2,105,197,413","3,436,060,494","168,377,806","15,821,424",0,0,"184,199,230","33,515,283","75,480,815","-49,285,667",0,"244,030,887","3,680,091,381"
2884,玉山金,Jun-23,"56,330,275","7,405,960","155,976,530","34,808,283","6,313,105","6,791,104","1,762,009","16,637,136","3,557,375,872","8,855,020","38,438,078",0,"44,250,000","1,674,735","3,974,200","1,023,538","3,334,649,112","150,751,000",0,0,"5,889,000","156,640,000","34,800,497","35,552,088","-4,439,666",0,"222,726,760","3,557,375,872"
2885,元大金,Jun-23,"75,644,781","58,883,657","254,618,784","25,981,635","30,824,105","11,430,533","10,791,484","62,706,326","3,221,729,589","131,127,059","188,149,586",0,"94,259,656","56,839,829","4,672,759","373,133,979","2,934,463,212","125,015,590",0,0,"1,875,234","126,890,824","38,090,889","104,951,834","-3,127,235",0,"287,266,377","3,221,729,589"
2886,兆豐金,Jun-23,"78,986,280","29,607,818","97,360,453","21,587,230","1,192,763","1,986,289","1,538,687","6,244,395","4,213,359,320","25,545,229","100,689,478",0,"20,500,000","12,619,123","2,042,493","29,245,351","3,901,992,180","139,398,196",0,0,"1,115,186","140,513,382","68,194,233","107,779,579","-5,120,054",0,"311,367,140","4,213,359,320"
2887,台新金,Jun-23,"31,764,521","80,286,827","177,470,199","25,830,960","3,598,352","2,453,347","3,798,077","18,261,190","2,972,739,856","22,105,950","48,027,865",0,"68,081,898","11,057,834","2,534,414","234,812,687","2,764,083,655","119,741,476","11,000,000",0,"5,029,142","135,770,618","38,197,778","37,612,833","-2,952,496",0,"208,656,201","2,972,739,856"
2888,新光金,Jun-23,"68,038,730","36,482,091","98,816,784","39,949,644","3,720,999","4,604,421","183,514,839","59,665,997","4,949,155,203","27,768,633","51,881,393",0,"64,814,611","3,968,048","11,452,855","3,312,960,623","4,712,379,543","154,876,182","2,970,000",0,0,"157,846,182","18,623,172","87,883,399","-27,972,089",0,"236,775,660","4,949,155,203"
2889,國票金,Jun-23,"3,040,309","14,749,454","35,662,705","7,068,275","254,828","146,883","407,034","4,946,261","353,666,296","15,003,534","18,507,706",0,0,0,"145,044","1,742,505","309,291,355","34,473,840",0,0,0,"34,473,840","234,005","5,565,733","-1,645,187",0,"44,374,941","353,666,296"
2890,永豐金,Jun-23,"33,995,589","19,152,490","115,767,634","13,127,355","2,401,012","3,722,409","2,384,428","24,265,905","2,694,275,402","23,279,272","64,883,666","18,437","71,244,936","7,754,164","3,218,260","3,020,460","2,521,241,053","121,337,646",0,0,"2,426,753","123,764,399","6,129,361","52,564,532","-9,423,943",0,"173,034,349","2,694,275,402"
2891,中信金,Jun-23,"89,774,755","168,938,999","295,641,345","48,502,695","39,056,765","17,420,491","104,813,148","57,232,358","8,004,243,437","13,469,244","132,586,234",0,"132,389,054",0,"16,906,646","1,858,076,193","7,577,756,653","195,836,143","4,999,900",0,0,"200,836,043","59,397,529","192,588,992","-49,575,234",0,"426,486,784","8,004,243,437"
